timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_z,s_gyro_z,s_mag_x,s_mag_y
4.74147E+12,1.0122528,1.4815674,7.7496796,-0.2742157,0.08114624,-0.42163086,-2.1453857,-20.507813,-45.256042,8.26041552,-0.386322022,-2.0623779,-20.6896974
4.74148E+12,1.1123657,1.6017303,7.6927795,-0.31384277,0.059265137,-0.43600464,-2.1453857,-20.507813,-45.256042,8.02787162,-0.402020264,-2.1038818,-20.5987552
4.74148E+12,1.1675873,1.750534,7.7050934,-0.3560028,0.038742065,-0.43844604,-2.5756836,-18.763733,-45.004272,7.8526703,-0.415975952,-2.23144528,-20.158997
4.74149E+12,1.1339874,1.6521301,7.944153,-0.39578247,0.03050232,-0.44387817,-2.5756836,-18.763733,-45.004272,7.7777893,-0.428030394,-2.31750486,-19.810181
4.74149E+12,1.1144562,1.5211945,8.312134,-0.44128418,0.017791748,-0.4593811,-2.5756836,-18.763733,-45.004272,7.8807679,-0.439868162,-2.40356444,-19.461365
4.7415E+12,1.0279694,1.3215027,8.625107,-0.47239685,4.43E-04,-0.47572327,-2.5756836,-18.763733,-45.004272,8.05585338,-0.450686644,-2.48962402,-19.112549
4.7415E+12,0.79278564,1.073883,8.71698,-0.4872589,-0.007049561,-0.49116516,-1.9378662,-17.871094,-45.378113,8.26069348,-0.461718748,-2.44812012,-18.5852052
4.74151E+12,0.4512787,0.9092865,8.669312,-0.49360657,0.004425049,-0.50035095,-1.9378662,-17.871094,-45.378113,8.4535372,-0.47409973,-2.32055664,-18.4066774
4.74152E+12,0.16133118,0.74916077,8.808929,-0.49534607,0.028137207,-0.5000763,-1.9378662,-17.871094,-45.378113,8.6264924,-0.485339356,-2.19299316,-18.2281496
4.74152E+12,-0.09803772,0.5560608,9.296661,-0.49913025,0.054031372,-0.48858643,-1.9378662,-17.871094,-45.378113,8.8233978,-0.491180422,-2.06542968,-18.0496218
4.74153E+12,-0.23535156,0.4221344,9.715515,-0.4974823,0.07633972,-0.46258545,-1.8341064,-17.97638,-45.480347,9.0414794,-0.488552858,-1.91711424,-17.8921512
4.74153E+12,-0.28848267,0.38909912,9.921539,-0.47653198,0.09362793,-0.42662048,-1.8341064,-17.97638,-45.480347,9.2823912,-0.475643922,-1.89636228,-17.9132084
4.74154E+12,-0.24476624,0.45854187,9.85408,-0.42796326,0.10682678,-0.3793335,-1.8341064,-17.97638,-45.480347,9.5193448,-0.451440432,-1.87561032,-17.9342656
4.74154E+12,-0.12498474,0.55374146,9.651154,-0.3582306,0.11808777,-0.32543945,-1.8341064,-17.97638,-45.480347,9.6877898,-0.416513062,-1.85485836,-17.9553228
4.74155E+12,0.052093506,0.68688965,9.344131,-0.2782898,0.12771606,-0.2736969,-1.4297485,-18.4906,-45.980835,9.6972838,-0.373535156,-1.75323482,-18.079224
4.74155E+12,0.25279236,0.8843231,8.784668,-0.19160461,0.12931824,-0.22589111,-1.4297485,-18.4906,-45.980835,9.5111144,-0.326196288,-1.67236324,-18.182068
4.74156E+12,0.4784088,1.084732,8.120148,-0.10102844,0.12200928,-0.17982483,-1.4297485,-18.4906,-45.980835,9.1508362,-0.276837158,-1.59149166,-18.284912
4.74156E+12,0.68704224,1.289505,7.5699463,-0.028411865,0.11613464,-0.1455841,-1.4297485,-18.4906,-45.980835,8.69400946,-0.230087278,-1.51062008,-18.387756
4.74157E+12,0.8616791,1.4996948,7.1894684,0.01701355,0.11517334,-0.12371826,-1.0787964,-19.073486,-46.551514,8.20167234,-0.18974304,-1.35955808,-18.6071772
4.74157E+12,1.0290833,1.7172394,6.9350433,0.034057617,0.120285034,-0.11550903,-1.0787964,-19.073486,-46.551514,7.7198548,-0.158105466,-1.28936766,-18.7237544
4.74158E+12,1.187851,1.8789063,6.710602,0.033081055,0.131073,-0.11906433,-1.0787964,-19.073486,-46.551514,7.3050416,-0.13674011,-1.21917724,-18.8403316
4.74158E+12,1.1213989,1.8117371,6.516205,0.020614624,0.14759827,-0.13574219,-1.0787964,-19.073486,-46.551514,6.984253,-0.127923582,-1.14898682,-18.9569088
4.74159E+12,1.0372925,1.7233734,6.353546,-3.20E-04,0.16911316,-0.1634674,-0.76293945,-18.884277,-46.61255,6.74097294,-0.131500242,-1.01562501,-19.0356442
4.74159E+12,0.9999695,1.7950897,6.2482758,-0.022735596,0.18978882,-0.18832397,-0.76293945,-18.884277,-46.61255,6.55273442,-0.144421384,-0.95245362,-18.9978024
4.7416E+12,0.8665314,1.868454,6.113098,-0.042037964,0.20703125,-0.20726013,-0.76293945,-18.884277,-46.61255,6.38834536,-0.162771604,-0.88928223,-18.9599606
4.7416E+12,0.7375488,1.8418732,5.967865,-0.055923462,0.21670532,-0.22410583,-0.76293945,-18.884277,-46.61255,6.23979796,-0.183779904,-0.82611084,-18.9221188
4.74161E+12,0.6160736,1.7135162,5.9246826,-0.0650177,0.21472168,-0.24038696,-0.4196167,-18.099976,-46.78192,6.12149348,-0.204708858,-0.6942749,-18.7274168
4.74161E+12,0.4563141,1.5688934,5.987152,-0.07084656,0.20124817,-0.25424194,-0.4196167,-18.099976,-46.78192,6.04821468,-0.222863766,-0.62561035,-18.5705566
4.74162E+12,0.21678162,1.4754944,6.0729218,-0.07255554,0.18051147,-0.26130676,-0.4196167,-18.099976,-46.78192,6.01314388,-0.237460324,-0.5569458,-18.4136964
4.74162E+12,0.07086182,1.5145416,6.1243744,-0.06971741,0.15875244,-0.25782776,-0.4196167,-18.099976,-46.78192,6.01539916,-0.24757385,-0.48828125,-18.2568362
4.74163E+12,0.08920288,1.5748596,6.2148285,-0.06463623,0.14285278,-0.24215698,-0.73547363,-17.356873,-46.88568,6.06479186,-0.25118408,-0.482788086,-17.9513554
4.74163E+12,0.15248108,1.5631561,6.370178,-0.059921265,0.13200378,-0.21946716,-0.73547363,-17.356873,-46.88568,6.15389094,-0.24700012,-0.545959472,-17.8027348
4.74164E+12,0.11123657,1.5864868,6.6234283,-0.055786133,0.12123108,-0.19667053,-0.73547363,-17.356873,-46.88568,6.2811462,-0.235485838,-0.609130858,-17.6541142
4.74164E+12,0.1525116,1.5900879,6.93927,-0.046585083,0.10494995,-0.17582703,-0.73547363,-17.356873,-46.88568,6.45441584,-0.218389892,-0.672302244,-17.5054936
4.74165E+12,0.13748169,1.5835724,7.1686707,-0.029708862,0.09211731,-0.1552887,-0.95825195,-17.43164,-46.957397,6.6632751,-0.19788208,-0.780029294,-17.3718264
4.74165E+12,0.12094116,1.5729065,7.2828674,-0.006881714,0.08883667,-0.13366699,-0.95825195,-17.43164,-46.957397,6.87688288,-0.176184082,-0.824584958,-17.3867798
4.74166E+12,0.14512634,1.5707092,7.4173737,0.02142334,0.0929718,-0.1136322,-0.95825195,-17.43164,-46.957397,7.08632202,-0.15501709,-0.869140622,-17.4017332
4.74166E+12,0.20088196,1.6289825,7.4889374,0.054534912,0.09843445,-0.093948364,-0.95825195,-17.43164,-46.957397,7.25942384,-0.134472657,-0.913696286,-17.4166866
4.74167E+12,0.23097229,1.7004547,7.4107513,0.08856201,0.10435486,-0.0773468,-1.1749268,-16.842651,-46.829224,7.3537201,-0.114776611,-1.00158692,-17.3138422
4.74167E+12,0.27848816,1.6851654,7.1783905,0.13061523,0.10848999,-0.059799194,-1.1749268,-16.842651,-46.829224,7.35566406,-0.09567871,-1.04492189,-17.1960444
4.74168E+12,0.29437256,1.69133,6.9639435,0.17326355,0.10601807,-0.04425049,-1.1749268,-16.842651,-46.829224,7.29187928,-0.07779541,-1.08825686,-17.0782466
4.74168E+12,0.2975769,1.712326,6.814728,0.20979309,0.09686279,-0.0309906,-1.1749268,-16.842651,-46.829224,7.17135014,-0.06126709,-1.13159183,-16.9604488
4.74169E+12,0.4077301,1.8258362,6.8641815,0.231781,0.075927734,-0.015838623,-1.0787964,-15.983582,-46.551514,7.04639896,-0.045645141,-1.15570072,-16.6708372
4.74169E+12,0.52134705,1.9154816,7.0939026,0.24320984,0.05519104,-0.00163269,-1.0787964,-15.983582,-46.551514,6.98302922,-0.030502319,-1.13647464,-16.4990234
4.7417E+12,0.64811707,1.9397888,7.42453,0.24360657,0.036758423,0.011642456,-1.0787964,-15.983582,-46.551514,7.03225712,-0.016213989,-1.11724856,-16.3272096
4.7417E+12,0.7289276,1.9600525,7.608902,0.2425232,0.02885437,0.019195557,-0.48217773,-16.410828,-46.63391,7.16124882,-0.00352478,-0.978698746,-16.240845
4.74171E+12,0.7413788,1.9319916,7.691971,0.24142456,0.03703308,0.022415161,-0.48217773,-16.410828,-46.63391,7.33669742,0.007156372,-0.840148932,-16.1544804
4.74171E+12,0.74842834,2.0051727,7.9347687,0.24034119,0.062683105,0.02368164,-0.48217773,-16.410828,-46.63391,7.55081486,0.015060425,-0.720825198,-16.2399296
4.74172E+12,0.63894653,2.0201569,8.018707,0.2393341,0.09642029,0.028030396,-0.48217773,-16.410828,-46.63391,7.73577574,0.020993042,-0.601501464,-16.3253788
4.74172E+12,0.6230469,2.0142822,8.016418,0.23982239,0.12991333,0.032180786,0.73394775,-17.803955,-46.803284,7.85415334,0.025100708,-0.238952634,-16.6894534
4.74173E+12,0.60032654,1.984787,7.914261,0.24487305,0.15939331,0.034469604,0.73394775,-17.803955,-46.803284,7.91522514,0.028155517,0.004272462,-16.9680788
4.74173E+12,0.5514374,2.0090942,7.8450165,0.24923706,0.18951416,0.042922974,0.73394775,-17.803955,-46.803284,7.94583424,0.03225708,0.247497558,-17.2467042
4.74174E+12,0.5287018,2.0555115,7.8930817,0.25090027,0.2078247,0.05293274,0.73394775,-17.803955,-46.803284,7.93749684,0.0381073,0.490722654,-17.5253296
4.74174E+12,0.55529785,2.0414734,8.115662,0.24905396,0.21621704,0.064193726,1.3244629,-18.730164,-46.88568,7.95688784,0.045339966,0.85205078,-17.9891968
4.74175E+12,0.5098877,2.087738,8.462952,0.24360657,0.2114563,0.07684326,1.3244629,-18.730164,-46.88568,8.04619464,0.054272461,0.97015381,-18.1744386
4.74175E+12,0.43426514,2.0909119,8.8112335,0.23866272,0.20114136,0.0887146,1.3244629,-18.730164,-46.88568,8.22558914,0.06512146,1.08825684,-18.3596804
4.74176E+12,0.44578552,2.1251984,9.053192,0.23631287,0.19416809,0.10392761,1.3244629,-18.730164,-46.88568,8.46722424,0.077322387,1.20635987,-18.5449222
4.74176E+12,0.5241852,2.2623749,9.285858,0.23832703,0.193573,0.119277954,0.45776367,-18.441772,-46.791077,8.7457795,0.09059143,1.151123054,-18.6724856
4.74177E+12,0.49116516,2.410797,9.555023,0.24267578,0.19436646,0.13360596,0.45776367,-18.441772,-46.791077,9.0336517,0.104473877,0.977783208,-18.6148072
4.74177E+12,0.4325409,2.400055,9.835419,0.24804688,0.19303894,0.14463806,0.45776367,-18.441772,-46.791077,9.3081451,0.118032837,0.804443362,-18.5571288
4.74178E+12,0.432724,2.3681335,9.979874,0.2591858,0.18902588,0.15266418,0.45776367,-18.441772,-46.791077,9.5418732,0.130822753,0.631103516,-18.4994504
4.74178E+12,0.40751648,2.3880615,10.006149,0.27731323,0.18618774,0.15905762,0.17089844,-18.214417,-46.33484,9.7324646,0.141848755,0.400390624,-18.396301
4.74179E+12,0.45587158,2.4911346,10.104919,0.294693,0.18165588,0.16680908,0.17089844,-18.214417,-46.33484,9.8962768,0.15135498,0.343017578,-18.35083
4.74179E+12,0.5882721,2.6114807,10.25238,0.3106079,0.16668701,0.17700195,0.17089844,-18.214417,-46.33484,10.0357482,0.160034178,0.285644532,-18.305359
4.7418E+12,0.63900757,2.650055,10.401489,0.31970215,0.14620972,0.18197632,0.17089844,-18.214417,-46.33484,10.1489622,0.16750183,0.228271486,-18.259888
4.7418E+12,0.6338959,2.6546478,10.515259,0.32157898,0.13046265,0.18025208,0.46539307,-18.214417,-46.047974,10.2560392,0.17301941,0.229797366,-18.214417
4.74181E+12,0.62039185,2.68396,10.684937,0.31767273,0.11947632,0.17481995,0.46539307,-18.214417,-46.047974,10.3917968,0.176171876,0.288696292,-18.214417
4.74181E+12,0.6561432,2.7419434,10.928818,0.30969238,0.10473633,0.16906738,0.46539307,-18.214417,-46.047974,10.5565766,0.176623536,0.347595218,-18.214417
4.74182E+12,0.70433044,2.78273,11.311264,0.30162048,0.081588745,0.1620636,0.46539307,-18.214417,-46.047974,10.7683534,0.173635866,0.406494144,-18.214417
4.74182E+12,0.69425964,2.7543335,11.80983,0.2925415,0.057739258,0.15190125,0.14343262,-18.107605,-46.151733,11.0500216,0.167620852,0.40100098,-18.1930546
4.74183E+12,0.6351013,2.6730194,12.247574,0.2861328,0.038742065,0.13989258,0.14343262,-18.107605,-46.151733,11.3964846,0.159548952,0.33660889,-18.1716922
4.74183E+12,0.5401459,2.5733032,12.582291,0.28781128,0.027923584,0.13031006,0.14343262,-18.107605,-46.151733,11.7759554,0.150646974,0.2722168,-18.1503298
4.74184E+12,0.52238464,2.5340118,12.858444,0.29811096,0.03060913,0.12579346,0.14343262,-18.107605,-46.151733,12.1618806,0.14199219,0.20782471,-18.1289674
4.74184E+12,0.5324707,2.5996857,12.984894,0.31123352,0.04737854,0.12611389,-0.4852295,-19.351196,-46.427917,12.4966066,0.134802248,0.017700196,-18.3563232
4.74185E+12,0.5423584,2.7082062,12.891373,0.32559204,0.0831604,0.13087463,-0.4852295,-19.351196,-46.427917,12.7129152,0.130596924,-0.108032228,-18.6050414
4.74185E+12,0.59233093,2.761795,12.566467,0.3394928,0.14051819,0.13691711,-0.4852295,-19.351196,-46.427917,12.7766938,0.13000183,-0.233764652,-18.8537596
4.74186E+12,0.62179565,2.753952,12.05484,0.34542847,0.21174622,0.1416626,-0.4852295,-19.351196,-46.427917,12.6712036,0.132272338,-0.359497076,-19.1024778
4.74186E+12,0.5037842,2.7057953,11.687653,0.33432007,0.2913971,0.14529419,-0.73547363,-20.103455,-46.551514,12.4370454,0.136172484,-0.535278326,-19.5016478
