timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_x,s_accel_y,s_accel_z,s_gyro_x,s_gyro_y,s_gyro_z,s_mag_x,s_mag_y,s_mag_z
8.05818E+12,0.2952423,1.8711548,9.287781,-0.102752686,-0.306427,4.43E-04,15.725708,-18.10608,-48.098755,0.256381224,1.87563476,8.2879668,-0.069042969,-0.292529298,0.009857178,15.9664916,-18.0584718,-48.145447
8.05819E+12,0.36679077,1.951004,9.915253,-0.12690735,-0.28575134,-9.46E-04,15.725708,-18.10608,-48.098755,0.279800414,1.8840393,8.80115046,-0.086642457,-0.300350952,0.006097412,15.8862304,-18.0743412,-48.129883
8.05819E+12,0.41748047,2.0348816,10.609924,-0.15231323,-0.25276184,-0.004959106,15.725708,-18.10608,-48.098755,0.310607908,1.91362,9.3669646,-0.106350708,-0.29389038,0.00173645,15.8059692,-18.0902106,-48.114319
8.0582E+12,0.48225403,2.0197296,11.043045,-0.18032837,-0.19721985,-0.014953613,16.93573,-18.309021,-47.309875,0.359890746,1.94533996,9.9223968,-0.128979492,-0.271520996,-0.003469849,15.9677124,-18.1466682,-47.940979
8.0582E+12,0.49971008,2.0018158,11.415009,-0.20811462,-0.1217041,-0.026748657,16.93573,-18.309021,-47.309875,0.41229553,1.97571716,10.4542024,-0.154083251,-0.232772826,-0.009432983,16.2097168,-18.1872564,-47.783203
8.05821E+12,0.41348267,2.001236,11.782806,-0.2379303,-0.033233643,-0.040786743,16.93573,-18.309021,-47.309875,0.435943604,2.0017334,10.9532074,-0.181118774,-0.178134155,-0.017678833,16.4517212,-18.2278446,-47.625427
8.05821E+12,0.2718048,1.9535522,12.089767,-0.27062988,0.054138184,-0.058502197,16.93573,-18.309021,-47.309875,0.41694641,2.00224304,11.3881102,-0.20986328,-0.11015625,-0.029190063,16.6937256,-18.2684328,-47.467651
8.05822E+12,0.09899902,1.8600616,12.321548,-0.3010559,0.13038635,-0.07765198,16.755676,-17.626953,-47.36023,0.35325012,1.96727904,11.730435,-0.239611814,-0.033526612,-0.043728638,16.8997192,-18.1726074,-47.319946
8.05822E+12,-0.03074646,1.7315063,12.544952,-0.32966614,0.19555664,-0.09460449,16.755676,-17.626953,-47.36023,0.250650022,1.90963438,12.0308164,-0.269479368,0.045028686,-0.059658813,16.8637084,-18.0361938,-47.330017
8.05823E+12,-0.10765076,1.6624451,12.870956,-0.3604126,0.24487305,-0.10668945,16.755676,-17.626953,-47.36023,0.129177854,1.84176024,12.3220058,-0.299938964,0.118344116,-0.075646972,16.8276976,-17.8997802,-47.340088
8.05823E+12,-0.103881836,1.6782379,13.270172,-0.38938904,0.2677307,-0.11204529,16.755676,-17.626953,-47.36023,0.025704953,1.77716062,12.619479,-0.330230712,0.178536985,-0.089898681,16.7916868,-17.7633666,-47.350159
8.05824E+12,-0.09448242,1.7147369,13.7491,-0.41175842,0.26423645,-0.11592102,16.06903,-17.07611,-47.76306,-0.047552491,1.72939756,12.9513456,-0.35845642,0.220556638,-0.101382446,16.6183468,-17.5167844,-47.440796
8.05824E+12,-0.21720886,1.6745911,14.262329,-0.41799927,0.22587585,-0.120910645,16.06903,-17.07611,-47.76306,-0.110794067,1.69230346,13.3395018,-0.381845094,0.239654538,-0.110034179,16.4810176,-17.4066158,-47.521362
8.05825E+12,-0.34146118,1.4864349,14.807526,-0.40197754,0.15480042,-0.12615967,16.06903,-17.07611,-47.76306,-0.172937011,1.64328918,13.7920166,-0.396307374,0.231503294,-0.116345215,16.3436884,-17.2964472,-47.601928
8.05825E+12,-0.42207336,1.1994171,15.435211,-0.36265564,0.059692383,-0.13105774,16.06903,-17.07611,-47.76306,-0.235821531,1.55068358,14.3048676,-0.396755982,0.194467161,-0.121218873,16.2063592,-17.1862786,-47.682494
8.05826E+12,-0.5456848,0.996933,16.080063,-0.3093109,-0.034622192,-0.12782288,15.841675,-17.755127,-48.423767,-0.324182124,1.4144226,14.8668458,-0.380740354,0.133996582,-0.124374391,16.023559,-17.2119134,-47.8952014
8.05826E+12,-0.6002197,0.87405396,16.489426,-0.2509308,-0.09666443,-0.11431885,15.841675,-17.755127,-48.423767,-0.42532958,1.246286012,15.414911,-0.34857483,0.061816406,-0.124053957,15.978088,-17.3477168,-48.0273428
8.05827E+12,-0.5335388,0.80944824,16.673447,-0.19174194,-0.11338806,-0.08970642,15.841675,-17.755127,-48.423767,-0.488595568,1.07325744,15.8971346,-0.303323364,-0.006036376,-0.117813112,15.932617,-17.4835202,-48.1594842
8.05827E+12,-0.42739868,0.7606659,16.616531,-0.13505554,-0.082977295,-0.055862427,15.841675,-17.755127,-48.423767,-0.505783068,0.92810364,16.2589356,-0.249938964,-0.053591919,-0.103753663,15.887146,-17.6193236,-48.2916256
8.05828E+12,-0.22868347,0.8131561,16.33995,-0.088974,-0.018554688,-0.020965576,15.3793335,-17.303467,-48.880005,-0.46710509,0.85085144,16.4398834,-0.195202636,-0.069241333,-0.081735231,15.7492067,-17.664795,-48.5150146
8.05828E+12,-0.023391724,0.98399353,15.900513,-0.04862976,0.07485962,0.014343262,15.3793335,-17.303467,-48.880005,-0.362646475,0.848263546,16.4039734,-0.143066408,-0.047344971,-0.053302002,15.6567384,-17.574463,-48.6062622
8.05829E+12,0.13056946,1.1487274,15.332031,-0.023162842,0.17607117,0.040725708,15.3793335,-17.303467,-48.880005,-0.216488643,0.903198234,16.1724944,-0.097512816,0.007202149,-0.022293091,15.5642701,-17.484131,-48.6975098
8.05829E+12,0.2796936,1.2359467,14.747894,-0.011657715,0.276886,0.05355835,15.3793335,-17.303467,-48.880005,-0.053842163,0.988497926,15.7873838,-0.061495971,0.085256961,0.006359863,15.4718018,-17.393799,-48.7887574
8.0583E+12,0.35006714,1.3173523,14.208496,-0.01828003,0.36535645,0.054336548,15.209961,-16.905212,-48.936462,0.101651001,1.099835206,15.3057768,-0.038140869,0.17492371,0.028399658,15.345459,-17.223816,-48.8912964
8.0583E+12,0.28433228,1.3416901,13.870926,-0.04020691,0.4313202,0.043029785,15.209961,-16.905212,-48.936462,0.204254151,1.205542006,14.811972,-0.028387451,0.264898688,0.041198731,15.3115845,-17.144165,-48.9025878
8.05831E+12,0.20013428,1.3920135,13.618423,-0.07066345,0.46842957,0.02722168,15.209961,-16.905212,-48.936462,0.248959352,1.287146,14.355554,-0.032794189,0.343612678,0.043774414,15.27771,-17.064514,-48.9138792
8.05831E+12,0.081344604,1.3612213,13.604767,-0.10928345,0.48225403,0.003952026,15.209961,-16.905212,-48.936462,0.239114381,1.32964478,14.0101012,-0.050018311,0.40484925,0.036419678,15.2438355,-16.984863,-48.9251706
8.05832E+12,-0.056671143,1.3015594,13.62355,-0.14775085,0.46902466,-0.020202637,15.458679,-16.656494,-47.958374,0.171841432,1.34276732,13.7852324,-0.077236938,0.443276982,0.02166748,15.2597046,-16.8554684,-48.7408444
8.05832E+12,-0.30386353,1.153595,13.546692,-0.18400574,0.43417358,-0.045303345,15.458679,-16.656494,-47.958374,0.041055298,1.31001586,13.6528716,-0.11038208,0.457040408,0.001739502,15.3094482,-16.8057248,-48.5452268
8.05833E+12,-0.5531616,0.94369507,13.436554,-0.21485901,0.38749695,-0.06732178,15.458679,-16.656494,-47.958374,-0.126443478,1.230416854,13.5659972,-0.1453125,0.448275758,-0.020330811,15.3591918,-16.7559812,-48.3496092
8.05833E+12,-0.73023987,0.7825012,13.493317,-0.21485901,0.38749695,-0.06732178,15.458679,-16.656494,-47.958374,-0.312518308,1.108514394,13.540976,-0.174151612,0.432089234,-0.039239503,15.4089354,-16.7062376,-48.1539916
8.05834E+12,-0.92544556,0.6069641,13.722519,-0.2654724,0.26271057,-0.087631226,17.454529,-16.941833,-47.966003,-0.513876341,0.957662954,13.5645264,-0.205389402,0.388180542,-0.057556154,15.857849,-16.7135618,-47.9598998
8.05834E+12,-1.0490875,0.35350037,14.1465,-0.29362488,0.17510986,-0.08615112,17.454529,-16.941833,-47.966003,-0.712359612,0.768051148,13.6691164,-0.234564208,0.329397582,-0.07074585,16.257019,-16.7706296,-47.9614256
8.05835E+12,-1.1576843,0.13365173,14.775085,-0.3203888,0.09169006,-0.07368469,17.454529,-16.941833,-47.966003,-0.883123766,0.564062494,13.914795,-0.26184082,0.260900878,-0.076422119,16.656189,-16.8276974,-47.9629514
8.05835E+12,-1.2114258,-0.061523438,15.226913,-0.33828735,0.019851685,-0.055511475,18.128967,-17.07611,-48.098755,-1.014776606,0.363018792,14.2728668,-0.286526488,0.187371825,-0.074060058,17.1902466,-16.9116206,-47.9910276
8.05836E+12,-1.2566681,-0.21388245,15.496536,-0.33795166,-0.036819458,-0.031158447,18.128967,-17.07611,-48.098755,-1.120062252,0.163742062,14.6735106,-0.311145018,0.102508543,-0.066827392,17.7243042,-16.9955438,-48.0191038
8.05836E+12,-1.3391571,-0.37452698,15.587997,-0.31715393,-0.07621765,-0.003631592,18.128967,-17.07611,-48.098755,-1.20280456,-0.032556154,15.0466062,-0.321481324,0.034722899,-0.050027465,17.8591918,-17.0223992,-48.0456542
8.05837E+12,-1.4142151,-0.53663635,15.690598,-0.28175354,-0.10185242,0.025924683,18.128967,-17.07611,-48.098755,-1.27583008,-0.210583498,15.3554258,-0.319107056,-0.020669557,-0.027612304,17.9940794,-17.0492546,-48.0722046
8.05837E+12,-1.4070587,-0.63134766,15.834076,-0.23072815,-0.117004395,0.065826416,18.4021,-15.98053,-48.632813,-1.32570496,-0.363583376,15.567224,-0.301174926,-0.062408448,0.000289917,18.1835936,-16.856994,-48.2055666
